lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,539,2.0,0.08822735399007797,0.9603000283241272,0.8656734824180603,0.7347829937934875,0.7838723659515381,3.992936372756958,368.0,19.811138153076172,23.892301559448242,0,,,,,,,,,,,,,,,
,,549,2.0,0.06534522771835327,0.972100019454956,0.7931838631629944,0.8419575691223145,0.8154839277267456,5.537712574005127,236.0,4.94607400894165,10.549131393432617,0,,,,,,,,,,,,,,,
,,559,2.0,0.05038822442293167,0.9782999753952026,0.819195032119751,0.771255612373352,0.7931260466575623,7.856900215148926,197.0,0.7240074872970581,8.631296157836914,0,,,,,,,,,,,,,,,
,,569,2.0,0.10322641581296921,0.961899995803833,0.7906695008277893,0.9176070690155029,0.8406475782394409,4.773041248321533,345.0,18.317413330078125,23.193679809570312,0,,,,,,,,,,,,,,,
,,579,2.0,0.05410674959421158,0.9803000092506409,0.8077627420425415,0.8800821304321289,0.8397954106330872,4.135068416595459,221.0,11.928267478942871,16.117443084716797,0,,,,,,,,,,,,,,,
,,589,2.0,0.017804788425564766,0.9955000281333923,0.6696510314941406,0.7404809594154358,0.6988707780838013,2.8923842906951904,17.0,0.04333926737308502,2.95352840423584,0,,,,,,,,,,,,,,,
,,599,2.0,0.04446595907211304,0.9836000204086304,0.7421047687530518,0.7214968800544739,0.7313193082809448,3.6098897457122803,113.0,3.3847951889038086,7.039151191711426,0,,,,,,,,,,,,,,,
,,609,2.0,0.043519526720047,0.984499990940094,0.7829679250717163,0.8347316980361938,0.8065575361251831,4.277080059051514,123.0,1.1019920110702515,5.422591686248779,0,,,,,,,,,,,,,,,
,,619,2.0,0.03163677081465721,0.9894999861717224,0.7019035220146179,0.9033098816871643,0.7680869102478027,4.140692710876465,68.0,1.382768154144287,5.555097579956055,0,,,,,,,,,,,,,,,
,,629,2.0,0.06799370795488358,0.9728000164031982,0.7024246454238892,0.7829847931861877,0.7354398965835571,5.503481388092041,135.0,1.9852770566940308,7.5567522048950195,0,,,,,,,,,,,,,,,
,,639,2.0,0.03793691471219063,0.9908000230789185,0.6518453359603882,0.7296908497810364,0.6826145648956299,3.282801628112793,40.0,0.40835437178611755,3.729092836380005,0,,,,,,,,,,,,,,,
,,649,2.0,0.05317935720086098,0.9789999723434448,0.7586217522621155,0.6915690898895264,0.7197786569595337,4.705448627471924,139.0,2.9354419708251953,7.694069862365723,0,,,,,,,,,,,,,,,
