lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
,,649,2.0,0.07745493948459625,0.9746999740600586,0.8191014528274536,0.780689001083374,0.798547625541687,5.898885726928711,306.0,6.988964080810547,12.96530532836914,0
,,659,2.0,0.09111852943897247,0.9567999839782715,0.7656122446060181,0.8529684543609619,0.8020077347755432,5.9873433113098145,378.0,52.35605239868164,58.434513092041016,0
,,669,2.0,0.03274979814887047,0.9918000102043152,0.7407892346382141,0.7168850898742676,0.728197455406189,3.869715929031372,64.0,0.9640518426895142,4.866517543792725,0
,,679,2.0,0.19155637919902802,0.9236999750137329,0.5684105753898621,0.6390849947929382,0.5878632068634033,5.941522598266602,216.0,34.20065689086914,40.333736419677734,0
,,689,2.0,0.08342782407999039,0.9707000255584717,0.7305562496185303,0.8080434799194336,0.7631688117980957,4.691788196563721,161.0,13.354016304016113,18.12923240661621,0
,,699,2.0,0.07708785682916641,0.9624999761581421,0.8180006742477417,0.8314712643623352,0.8245721459388733,4.868506908416748,291.0,24.910503387451172,29.856098175048828,0
,,709,2.0,0.04441472142934799,0.9825999736785889,0.6064286231994629,0.6794402599334717,0.6330971717834473,4.2958149909973145,62.0,3.2323179244995117,7.572547435760498,0
,,719,2.0,0.0369713120162487,0.9868000149726868,0.7588516473770142,0.9024256467819214,0.8143187165260315,4.989171028137207,129.0,24.45503807067871,29.48118019104004,0
,,729,2.0,0.05218115821480751,0.9769999980926514,0.8297321796417236,0.8688449263572693,0.8480750322341919,4.081466197967529,251.0,18.486587524414062,22.620235443115234,0
,,739,2.0,0.04973785579204559,0.9804999828338623,0.8306560516357422,0.8381271362304688,0.8343464136123657,4.502668857574463,268.0,68.43359375,72.98600006103516,0
,,749,2.0,0.0594506710767746,0.9746999740600586,0.7944597005844116,0.8531193733215332,0.8208559155464172,4.441983699798584,202.0,15.264606475830078,19.766040802001953,0
,,759,2.0,0.10123171657323837,0.9620000123977661,0.8144903182983398,0.832624614238739,0.8232591152191162,5.808526039123535,361.0,17.465782165527344,23.375539779663086,0
,,769,2.0,0.06882007420063019,0.9692999720573425,0.786888599395752,0.7905627489089966,0.7887126207351685,4.322847366333008,295.0,56.680816650390625,61.07248306274414,0
,,779,2.0,0.019440125674009323,0.9972000122070312,0.5581724047660828,0.5659155249595642,0.5617988705635071,2.5433132648468018,11.0,0.05144771561026573,2.614201068878174,0
,,789,2.0,0.10511047393083572,0.9614999890327454,0.6813631057739258,0.8304967880249023,0.7316133379936218,5.294312477111816,203.0,37.06411361694336,42.46353530883789,0
,,799,2.0,0.10959724336862564,0.9603999853134155,0.7218229174613953,0.7415738105773926,0.7312201261520386,6.388205051422119,330.0,8.64261245727539,15.14041519165039,0
,,809,2.0,0.04622693732380867,0.9803000092506409,0.7585034370422363,0.9203799962997437,0.8187258839607239,3.7564027309417725,119.0,6.5220136642456055,10.3246431350708,0
,,819,2.0,0.05385603755712509,0.9783999919891357,0.7408827543258667,0.8619202375411987,0.7883478403091431,3.0494844913482666,186.0,16.10869026184082,19.2120304107666,0
,,829,2.0,0.03117433190345764,0.9932000041007996,0.49844422936439514,0.4981442391872406,0.4982942044734955,3.540249824523926,25.0,0.09748489409685135,3.6689090728759766,0
,,839,2.0,0.1345842480659485,0.9409000277519226,0.6566480398178101,0.8119339942932129,0.7037770748138428,5.27473783493042,214.0,30.976333618164062,36.38565444946289,0
,,849,2.0,0.04211314767599106,0.982699990272522,0.827805757522583,0.9349381327629089,0.8731685876846313,3.5144712924957275,249.0,35.39497756958008,38.951560974121094,0
